[14.07.2025 02:30:16]  [Authorization] Error: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение. (localhost:5000)
[14.07.2025 02:30:37]  [MessengerWindow] Инициализация для пользователя: Админ (127.0.0.1:8003)
[14.07.2025 02:30:37]  [StartListener] HTTP listener started on localhost:8003
[14.07.2025 02:30:37]  [LoadMessageHistory] Загрузка истории сообщений для Я
[14.07.2025 02:30:37]  [MessengerWindow] Инициализация завершена
[14.07.2025 02:30:38]  [RestoreMessage] Восстановлено сообщение: Админ -> Мася
[14.07.2025 02:30:38]  [RestoreMessage] Восстановлено сообщение: Админ -> Мася
[14.07.2025 02:30:38]  [RestoreMessage] Восстановлено сообщение: Админ -> Мася
[14.07.2025 02:30:38]  [RestoreMessage] Восстановлено сообщение: Мася -> Мася
[14.07.2025 02:30:38]  [RestoreMessage] Восстановлено сообщение: Админ -> Мася
[14.07.2025 02:30:38]  [RestoreMessage] Восстановлено сообщение: Мася -> Мася
[14.07.2025 02:30:38]  [RestoreMessage] Восстановлено сообщение: Админ -> Мася
[14.07.2025 02:30:39]  [RestoreMessage] Восстановлено сообщение: Мася -> Мася
[14.07.2025 02:30:39]  [LoadMessageHistory] Загружено 8 сообщений
[14.07.2025 02:30:54]  [LBChats_SelectionChanged] Selected contact: Вася (127.0.0.1:8001)
[14.07.2025 02:30:54]  [LBChats_SelectionChanged] Restored draft for Вася: ''
[14.07.2025 02:30:54]  [LBChats_SelectionChanged] Saved draft for Вася: ''
[14.07.2025 02:30:55]  [LBChats_SelectionChanged] Selected contact: убека (127.0.0.1:8002)
[14.07.2025 02:30:55]  [LBChats_SelectionChanged] Restored draft for убека: ''
[14.07.2025 02:30:55]  [LBChats_SelectionChanged] Saved draft for убека: ''
[14.07.2025 02:30:55]  [LBChats_SelectionChanged] Selected contact: Мася (127.0.0.1:8004)
[14.07.2025 02:30:55]  [LBChats_SelectionChanged] Restored draft for Мася: ''
[14.07.2025 02:30:59]  [LBChats_SelectionChanged] Saved draft for Мася: '123'
[14.07.2025 02:30:59]  [LBChats_SelectionChanged] Selected contact: убека (127.0.0.1:8002)
[14.07.2025 02:30:59]  [LBChats_SelectionChanged] Restored draft for убека: ''
[14.07.2025 02:31:00]  [LBChats_SelectionChanged] Saved draft for убека: ''
[14.07.2025 02:31:00]  [LBChats_SelectionChanged] Selected contact: Мася (127.0.0.1:8004)
[14.07.2025 02:31:00]  [LBChats_SelectionChanged] Restored draft for Мася: '123'
[14.07.2025 02:31:02]  [Button_Click_SendMessage] Button clicked. Selected item: Contact
[14.07.2025 02:31:02]  [Button_Click_SendMessage] Sending message: '123'
[14.07.2025 02:31:02]  [SendMessage] Starting send message: '123' to contact: Мася
[14.07.2025 02:31:02]  [SendMessage] Message added to local contact. Sending to user...
[14.07.2025 02:31:02]  [SendMessageToUser] Starting send message process
[14.07.2025 02:31:02]  [SendMessageToUser] Current Contact: Мася (127.0.0.1:8004)
[14.07.2025 02:31:02]  [SendMessageToUser] Contact validation passed for Мася
[14.07.2025 02:31:03]  [CheckUserOnline] User online at http://localhost:8004/
[14.07.2025 02:31:03]  [HTTP] Попытка отправки сообщения на http://localhost:8004/
[14.07.2025 02:31:03]  [HTTP] Статус ответа от http://localhost:8004/: OK
[14.07.2025 02:31:03]  [HTTP] Сообщение успешно доставлено пользователю Мася
[14.07.2025 02:31:03]  [SaveMessageToServer] Сообщение сохранено на сервере
[14.07.2025 02:32:30]  [MessengerWindow] Инициализация для пользователя: Админ (127.0.0.1:8003)
[14.07.2025 02:32:30]  [StartListener] HTTP listener started on localhost:8003
[14.07.2025 02:32:30]  [LoadMessageHistory] Загрузка истории сообщений для Я
[14.07.2025 02:32:30]  [MessengerWindow] Инициализация завершена
[14.07.2025 02:32:31]  [RestoreMessage] Восстановлено сообщение: Админ -> Мася
[14.07.2025 02:32:31]  [RestoreMessage] Восстановлено сообщение: Админ -> Мася
[14.07.2025 02:32:31]  [RestoreMessage] Восстановлено сообщение: Админ -> Мася
[14.07.2025 02:32:31]  [RestoreMessage] Восстановлено сообщение: Мася -> Мася
[14.07.2025 02:32:31]  [RestoreMessage] Восстановлено сообщение: Админ -> Мася
[14.07.2025 02:32:31]  [RestoreMessage] Восстановлено сообщение: Мася -> Мася
[14.07.2025 02:32:31]  [RestoreMessage] Восстановлено сообщение: Админ -> Мася
[14.07.2025 02:32:31]  [RestoreMessage] Восстановлено сообщение: Мася -> Мася
[14.07.2025 02:32:32]  [RestoreMessage] Восстановлено сообщение: Админ -> Мася
[14.07.2025 02:32:32]  [LoadMessageHistory] Загружено 9 сообщений
[14.07.2025 02:32:33]  [LBChats_SelectionChanged] Selected contact: Мася (127.0.0.1:8004)
[14.07.2025 02:32:33]  [LBChats_SelectionChanged] Restored draft for Мася: ''
